id,entityName,registerDateMinistry,Euregister,category,ministries,parliamentActivity,representatives,clients,registerDate,expirationDate,subject,st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21,,,
1,Polska Kompania Doradcza Sp. z o.o.,2006-03-14,Nie,Nie dotyczy,Ministerstwo Sprawiedliwości,Nie,,,,,,,,,,,,,,,,,,,,1,,,,,,
2,Pleon Sp. z o.o.,2006-03-14,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Majchrzak Krzysztof,b.d.,Nie,Nie dotyczy,Ministerstwo Sportu i Turystyki,Tak,Krzysztof Majchrzak,Sekcja Ratująca Międzyszkolny Ośrodek Sportowy nr 5 w Instytucie Reumatologii,7/2/2011,26/4/2011,Działalność na rzecz ratowania Międzyszkolnego Ośrodka Sportowego nr 5 w Instytucje Reumatologii w Warszawie,,,,,,,,,,1,,,,,,,,1,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Michał,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",28/9/2006,19/12/2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolnić i zwiększyć konkurencyjność na rynku sprzedaży i dystrybucji widocznych części aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",5/1/2007,18/3/2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiększenie konkurencji na rynku sprzedaży i dystrybucji widocznych części aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",5/1/2007,18/3/2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiększenie konkurencji na rynku sprzedaży i dystrybucji widocznych części aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Michał,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",5/1/2007,18/3/2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiększenie konkurencji na rynku sprzedaży i dystrybucji widocznych części aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",26/3/2007,20/6/2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolnić i zwiększyć konkurencyjność na rynku sprzedaży i dystrybucji widocznych części aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",26/3/2007,20/6/2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiększenie konkurencji na rynku sprzedaży i dystrybucji widocznych części aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Michał,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",26/3/2007,20/6/2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiększenie konkurencji na rynku sprzedaży i dystrybucji widocznych części aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",13/6/2007,10/9/2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolnić i zwiększyć konkurencyjność na rynku sprzedaży i dystrybucji widocznych części aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",13/6/2007,10/9/2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiększenie konkurencji na rynku sprzedaży i dystrybucji widocznych części aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Michał,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Części Zamiennych",13/6/2007,10/9/2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiększenie konkurencji na rynku sprzedaży i dystrybucji widocznych części aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i usług. Przywrócenie 7%-owej stawki podatku VAT na ubranka dziecięce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,porozumienie niezależnych emitentów bonów towarowych,24/10/2008,26/1/2009,Ochrona interesu drobnego handlu oraz wolnej konkurencji na rynku emitentów bonów towarowych,,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,porozumienie niezależnych emitentów bonów towarowych,24/10/2008,26/1/2009,Ochrona interesu drobnego handlu oraz wolnej konkurencji na rynku emitentów bonów towarowych,,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Michał,porozumienie niezależnych emitentów bonów towarowych,24/10/2008,26/1/2009,Ochrona interesu drobnego handlu oraz wolnej konkurencji na rynku emitentów bonów towarowych,,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,Koalicja na rzecz Prawa do Naprawy,6/2/2009,3/5/2009,"Ochrona interesu pracowników warsztatów samochodowych, właścicieli pojazdów samochodowych",,,,,,1,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Związek Dużych Rodzin ""Trzy Plus""",17/4/2009,3/5/2009,Ochrona praw rodziny w kontekście wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Michał,Koalicja na rzecz Prawa do Naprawy,6/2/2009,3/5/2009,"Ochrona interesu pracowników warsztatów samochodowych, właścicieli pojazdów samochodowych",,,,,,1,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Michał,"Związek Dużych Rodzin ""Trzy Plus""",17/4/2009,3/5/2009,Ochrona praw rodziny w kontekście wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Związek Dużych Rodzin ""Trzy Plus""",19/5/2009,11/8/2009,Ochrona praw rodziny w kontekście wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Michał,"Związek Dużych Rodzin ""Trzy Plus""",19/5/2009,11/8/2009,Ochrona praw rodziny w kontekście wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Związek Dużych Rodzin ""Trzy Plus""",16/3/2010,3/6/2010,Ochrona praw rodziny w kontekście wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Związek Dużych Rodzin ""Trzy Plus""",16/3/2010,3/6/2010,Ochrona praw rodziny w kontekście wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Związek Dużych Rodzin ""Trzy Plus""",9/6/2010,27/8/2010,Ochrona praw rodziny w kontekście wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Związek Dużych Rodzin ""Trzy Plus""",9/6/2010,27/8/2010,Ochrona praw rodziny w kontekście wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian, Dan Cake Polonia Sp. z o.o.,13/10/2010,7/1/2011,"Wprowadzenie jednoznacznych, nieinterpretowalnych przepisów na wyroby ciastkarskie",,,,,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej, Dan Cake Polonia Sp. z o.o.,13/10/2010,7/1/2011,"Wprowadzenie jednoznacznych, nieinterpretowalnych przepisów na wyroby ciastkarskie",,,,,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian, Dan Cake Polonia Sp. z o.o.,21/2/2011,7/5/2011,Powrót do preferencyjnej stawki VAT na świeże ciastka z terminem przydatności powyżej 14 dni,,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej, Dan Cake Polonia Sp. z o.o.,21/2/2011,7/5/2011,Powrót do preferencyjnej stawki VAT na świeże ciastka z terminem przydatności powyżej 14 dni,,,,1,,,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian, Dan Cake Polonia Sp. z o.o.,15/6/2011,30/8/2011,Prawo podatkowe,,,,1,,,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej, Dan Cake Polonia Sp. z o.o.,15/6/2011,30/8/2011,Prawo podatkowe,,,,1,,,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Stowarzyszenie Energetyki Odnawialnej, Ogólnopolski Związek Pracodawców Niepublicznych Operatorów Pocztowych",9/5/2012,31/12/2012,Zmiany w prawie energetycznym-odnawialne źródła energii. Zmiany w prawie pocztowym i ustawach związanych,,,,,1,,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,3/22/2006,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,Stowarzyszenie Energetyki Odnawialnej,11/5/2012,31/12/2012,Zmiany w prawie energetycznym-odnawialne źródła energii,,,,,1,,,1,,,,,,,,,,,,,
12,Impress Art Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Przedsiębiorstwo Produkcyjno Handlowe Geo–Land–Consulting–International Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,"Ministerstwo Środowiska, Ministerstwo Finansów",Nie,,,,,,,,,1,,,,1,,,,,,,,,,,,,
14,Grayling Poland Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Ministerstwo Środowiska,Tak,Krzysztof Baczyński,Krynicki Recykling S.A.,11/1/2013,31/12/2013,Regulacje dotyczące gospodarki odpadami,,,,,,,,1,,,,,,,,,,,,,
14,MMD Public Relations Poland Sp. z o.o.,2006-03-22,Nie,Nie dotyczy,Ministerstwo Środowiska,Tak,Klara Banaszewska,Wonga PL Sp. z o.o.; Uber Poland Sp. z o.o.,5/2/2015,31/12/2015,Wzmocnienie ochrony konsumentów w odniesieniu do ustawy o nadzorze nad rynkiem finansowym ustawy Prawo bankowe i ustawy o ochronie konkurencji i konsumentów. Implementacja nowoczesnych technologii w odniesieniu do ustawy Prawo o ruchu drogowym,,,,1,,,,,,,,1,,,,,,,,,
