id,entityName,Euregister,category,ministries,parliamentActivity,representatives,clients,registerDate,expirationDate,subject,st1,st2,st3,st4,st5,st6,st7,st8,st9,st10,st11,st12,st13,st14,st15,st16,st17,st18,st19,st20,st21
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,Claudie-Marie  Smoleñ,Souter Investments LLP,6-10-2010,2-11-2010,Prawo zwi¹zane z transportem,,,,,,,,,,,,1,,,,,,,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,£ukasz Jachowicz,bwin Interactive Entertainment AG,20-1-2011,3-4-2011,Prawo zwi¹zane z grami i zak³adami wzajemnymi,,,,1,,,,,,,,,,,,,,1,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,£ukasz Jachowicz,bwin Interactive Entertainment AG,31-3-2011,16-5-2011,Prawo zwi¹zane z grami i zak³adami wzajemnymi,,,,1,,,,,,,,,,,,,,1,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,Anna Borys-Karwacka,Mastercard Europe sprl,20-5-2013,31-12-2013,Ochrona konkurencyjnoœci na rynku p³atnoœci bezgotówkowych w Polsce,,,,1,,,,,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,Micha³ Koczalski,Neste Oil Oyi,20-1-2014,25-8-2014,Pe³na implementacja dyrektywy 2009/28/WE w zakresie paliw odnawialnych,,,,,1,,,,,,,,,,,,,,,,
8,Central European Consulting Sp. z o.o.,Tak,I - Firmy konsultingowe/kancelarie prawne/niezale¿ni konsultanci,"Ministerstwo Finansów, Ministerstwo Spraw Wewnêtrznych i Administracji",Tak,Micha³ Koczalski,International Paper EMEA,20-1-2014,31-12-2014,Pe³na implementacja dyrektywy 2009/28/WE w zakresie paliw odnawialnych,,,,,1,,,,,,,,,,,,,,,,
9,GGK Public Relations Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Szymon Kamiñski,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",19-6-2006,12-9-2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolniæ i zwiêkszyæ konkurencyjnoœæ na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",19-6-2006,12-9-2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolniæ i zwiêkszyæ konkurencyjnoœæ na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Micha³,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",19-6-2006,12-9-2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolniæ i zwiêkszyæ konkurencyjnoœæ na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",28-9-2006,19-12-2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolniæ i zwiêkszyæ konkurencyjnoœæ na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",28-9-2006,19-12-2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolniæ i zwiêkszyæ konkurencyjnoœæ na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Micha³,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",28-9-2006,19-12-2006,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolniæ i zwiêkszyæ konkurencyjnoœæ na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",5-1-2007,18-3-2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiêkszenie konkurencji na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",5-1-2007,18-3-2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiêkszenie konkurencji na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Micha³,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",5-1-2007,18-3-2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiêkszenie konkurencji na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",26-3-2007,20-6-2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolniæ i zwiêkszyæ konkurencyjnoœæ na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",26-3-2007,20-6-2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiêkszenie konkurencji na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Micha³,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",26-3-2007,20-6-2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiêkszenie konkurencji na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",13-6-2007,10-9-2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego.""Klauzula napraw"" ma uwolniæ i zwiêkszyæ konkurencyjnoœæ na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",13-6-2007,10-9-2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiêkszenie konkurencji na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Micha³,"Komitet Inicjatywy Ustawodawczej ""Nasze Dziecko""; Koalicja na rzecz Wolnego Rynku Samochodowych Czêœci Zamiennych",13-6-2007,10-9-2007,"1. Wprowadzenie dyrektywy europejskiej GUO do prawa polskiego, uwolnienie i zwiêkszenie konkurencji na rynku sprzeda¿y i dystrybucji widocznych czêœci aut. Druk nr 882. 2. Obywatelski projekt ustawy o zmianie ustawy o podatku od towarów i us³ug. Przywrócenie 7%-owej stawki podatku VAT na ubranka dzieciêce. Druk nr 198",,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,porozumienie niezale¿nych emitentów bonów towarowych,24-10-2008,26-1-2009,Ochrona interesu drobnego handlu oraz wolnej konkurencji na rynku emitentów bonów towarowych,,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,porozumienie niezale¿nych emitentów bonów towarowych,24-10-2008,26-1-2009,Ochrona interesu drobnego handlu oraz wolnej konkurencji na rynku emitentów bonów towarowych,,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Micha³,porozumienie niezale¿nych emitentów bonów towarowych,24-10-2008,26-1-2009,Ochrona interesu drobnego handlu oraz wolnej konkurencji na rynku emitentów bonów towarowych,,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,Koalicja na rzecz Prawa do Naprawy,6-2-2009,3-5-2009,"Ochrona interesu pracowników warsztatów samochodowych, w³aœcicieli pojazdów samochodowych",,,,,,1,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Zwi¹zek Du¿ych Rodzin ""Trzy Plus""",17-4-2009,3-5-2009,Ochrona praw rodziny w kontekœcie wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Micha³,Koalicja na rzecz Prawa do Naprawy,6-2-2009,3-5-2009,"Ochrona interesu pracowników warsztatów samochodowych, w³aœcicieli pojazdów samochodowych",,,,,,1,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Micha³,"Zwi¹zek Du¿ych Rodzin ""Trzy Plus""",17-4-2009,3-5-2009,Ochrona praw rodziny w kontekœcie wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Zwi¹zek Du¿ych Rodzin ""Trzy Plus""",19-5-2009,11-8-2009,Ochrona praw rodziny w kontekœcie wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Kuczmierowski Micha³,"Zwi¹zek Du¿ych Rodzin ""Trzy Plus""",19-5-2009,11-8-2009,Ochrona praw rodziny w kontekœcie wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Zwi¹zek Du¿ych Rodzin ""Trzy Plus""",16-3-2010,3-6-2010,Ochrona praw rodziny w kontekœcie wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Zwi¹zek Du¿ych Rodzin ""Trzy Plus""",16-3-2010,3-6-2010,Ochrona praw rodziny w kontekœcie wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Zwi¹zek Du¿ych Rodzin ""Trzy Plus""",9-6-2010,27-8-2010,Ochrona praw rodziny w kontekœcie wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,"Zwi¹zek Du¿ych Rodzin ""Trzy Plus""",9-6-2010,27-8-2010,Ochrona praw rodziny w kontekœcie wychowania dzieci przez rodziców.,,,,,,,,,1,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian, Dan Cake Polonia Sp. z o.o.,13-10-2010,7-1-2011,"Wprowadzenie jednoznacznych, nieinterpretowalnych przepisów na wyroby ciastkarskie",,,,,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej, Dan Cake Polonia Sp. z o.o.,13-10-2010,7-1-2011,"Wprowadzenie jednoznacznych, nieinterpretowalnych przepisów na wyroby ciastkarskie",,,,,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian, Dan Cake Polonia Sp. z o.o.,21-2-2011,7-5-2011,Powrót do preferencyjnej stawki VAT na œwie¿e ciastka z terminem przydatnoœci powy¿ej 14 dni,,,,1,,1,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej, Dan Cake Polonia Sp. z o.o.,21-2-2011,7-5-2011,Powrót do preferencyjnej stawki VAT na œwie¿e ciastka z terminem przydatnoœci powy¿ej 14 dni,,,,1,,,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian, Dan Cake Polonia Sp. z o.o.,15-6-2011,30-8-2011,Prawo podatkowe,,,,1,,,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej, Dan Cake Polonia Sp. z o.o.,15-6-2011,30-8-2011,Prawo podatkowe,,,,1,,,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Bojemski Sebastian,"Stowarzyszenie Energetyki Odnawialnej, Ogólnopolski Zwi¹zek Pracodawców Niepublicznych Operatorów Pocztowych",9-5-2012,31-12-2012,Zmiany w prawie energetycznym-odnawialne Ÿród³a energii. Zmiany w prawie pocztowym i ustawach zwi¹zanych,,,,,1,,,,,,,,,,,,,,,,
11,Pracownia Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Tak,Hirsch Dymitr Andrzej,Stowarzyszenie Energetyki Odnawialnej,11-5-2012,31-12-2012,Zmiany w prawie energetycznym-odnawialne Ÿród³a energii,,,,,1,,,1,,,,,,,,,,,,,
12,Impress Art Sp. z o.o.,Nie,Nie dotyczy,Brak informacji o kontaktach,Nie,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Przedsiêbiorstwo Produkcyjno Handlowe Geo–Land–Consulting–International Sp. z o.o.,Nie,Nie dotyczy,"Ministerstwo Œrodowiska, Ministerstwo Finansów",Nie,,,,,,,,,1,,,,1,,,,,,,,,,,,,
14,Grayling Poland Sp. z o.o.,Nie,Nie dotyczy,Ministerstwo Œrodowiska,Tak,Krzysztof Baczyñski,Krynicki Recykling S.A.,11-1-2013,31-12-2013,Regulacje dotycz¹ce gospodarki odpadami,,,,,,,,1,,,,,,,,,,,,,
14,MMD Public Relations Poland Sp. z o.o.,Nie,Nie dotyczy,Ministerstwo Œrodowiska,Tak,Klara Banaszewska,Wonga PL Sp. z o.o.; Uber Poland Sp. z o.o.,5-2-2015,31-12-2015,Wzmocnienie ochrony konsumentów w odniesieniu do ustawy o nadzorze nad rynkiem finansowym ustawy Prawo bankowe i ustawy o ochronie konkurencji i konsumentów. Implementacja nowoczesnych technologii w odniesieniu do ustawy Prawo o ruchu drogowym,,,,1,,,,,,,,1,,,,,,,,,
14,MMD Public Relations Poland Sp. z o.o.,Nie,Nie dotyczy,Ministerstwo Œrodowiska,Tak,Emilia Piotrowska,Akademia Czerniaka,20-1-2015,31-12-2015,Ochrona zdrowia. Edukacja zdrowotna. Dostêp pacjentów do leczenia. Badania naukowe. Innowacyjnoœæ gospodarki,,,,,,,,1,,1,,,,,,,,,,,
14,MMD Public Relations Poland Sp. z o.o.,Nie,Nie dotyczy,Ministerstwo Œrodowiska,Tak,Pawe³ Purski,Wonga PL Sp. z o.o.; Uber Poland Sp. z o.o.,28-1-2015,31-12-2015,Ochrona konsumentów w odniesieniu do projektu ustawy o zmianie ustawy o nadzorze nad rynkiem finansowym. Implementacja nowoczesnych technologii w odniesieniu do prawa o ruchu drogowym,,,,,,1,,1,,,,,,,,,,,1,,
